packet_id,snr_db,tx_time,rx_time,hops_used
87,1.25,1781084086.94146,1781084087.67713,0
88,2.75,1781084088.053281,1781084088.800622,0
89,3.75,1781084089.1550772,1781084089.937354,0
90,2.75,1781084090.2662,1781084091.031577,0
91,3.0,1781084091.377928,1781084092.126622,0
92,0.25,1781084092.489932,1781084093.2736251,0
93,2.5,1781084093.601483,1781084094.3505821,0
94,4.0,1781084094.708284,1781084095.461714,0
95,4.0,1781084095.816025,1781084096.563586,0
96,4.5,1781084096.927534,1781084097.7433972,0
97,2.75,1781084098.0390668,1781084098.795095,0
98,1.0,1781084099.1507578,1781084099.918338,0
99,3.75,1781084100.255981,1781084101.027027,0
100,2.5,1781084101.365225,1781084102.1088378,0
101,4.25,1781084102.476755,1781084103.226636,0
102,4.5,1781084103.5881789,1781084104.328935,0
103,4.0,1781084104.691181,1781084105.467316,0
104,3.75,1781084105.79839,1781084106.628627,0
105,2.75,1781084106.910142,1781084107.714775,0
106,4.0,1781084108.0184991,1781084108.784756,0
107,4.0,1781084109.126697,1781084109.869766,0
108,4.75,1781084110.2382112,1781084110.9928188,0
109,5.0,1781084111.348889,1781084112.11792,0
110,5.0,1781084112.456386,1781084113.194753,0
111,2.25,1781084113.565883,1781084114.36675,0
112,2.75,1781084114.672877,1781084115.4231,0
113,4.25,1781084115.779329,1781084116.526124,0
114,3.25,1781084116.890572,1781084117.591943,0
115,3.5,1781084118.002188,1781084118.773962,0
116,3.75,1781084119.113226,1781084119.87685,0
117,-4.0,1781084120.2247329,1781084120.981801,0
118,0.5,1781084121.3356328,1781084122.153426,0
119,-1.75,1781084122.4413881,1781084123.194717,0
120,-0.25,1781084123.553049,1781084124.325323,0
121,-4.25,1781084124.658067,1781084125.419093,0
122,1.75,1781084125.7690291,1781084126.595784,0
123,0.25,1781084126.880325,1781084127.690402,0
124,-1.75,1781084127.988148,1781084128.772484,0
125,1.25,1781084129.097551,1781084129.876736,0
126,1.0,1781084130.205512,1781084130.961914,0
127,-4.0,1781084131.31527,1781084132.072161,0
128,-1.75,1781084132.426903,1781084133.183717,0
129,0.75,1781084133.538493,1781084134.282966,0
130,0.5,1781084134.650075,1781084135.42241,0
131,-1.75,1781084135.761796,1781084136.472718,0
132,-1.25,1781084136.873321,1781084137.61285,0
133,1.25,1781084137.984952,1781084138.7350762,0
134,-1.75,1781084139.091073,1781084139.854,0
135,-1.0,1781084140.200599,1781084140.9545732,0
136,-5.75,1781084141.312106,1781084142.078084,0
137,-2.25,1781084142.418449,1781084143.167528,0
138,-1.25,1781084143.529522,1781084144.277471,0
139,0.25,1781084144.636724,1781084145.381566,0
140,-2.5,1781084145.740862,1781084146.483972,0
141,-6.75,1781084146.846169,1781084147.572618,0
142,-7.25,1781084147.9513412,1781084148.712013,0
143,-2.5,1781084149.058549,1781084149.8801012,0
144,-2.5,1781084150.163708,1781084150.93069,0
145,-1.0,1781084151.2682,1781084152.018414,0
146,-3.75,1781084152.377165,1781084153.126248,0
147,-1.0,1781084153.4867132,1781084154.2330701,0
149,-2.75,1781084155.70046,1781084156.459571,0
150,2.0,1781084156.811328,1781084157.5562859,0
151,0.5,1781084157.920043,1781084158.6695628,0
152,-1.75,1781084159.0289018,1781084159.811847,0
153,-1.25,1781084160.14044,1781084160.8894851,0
154,1.75,1781084161.2498088,1781084162.025307,0
155,3.25,1781084162.361494,1781084163.11825,0
156,4.0,1781084163.470429,1781084164.240282,0
157,-3.5,1781084164.581963,1781084165.342047,0
158,10.0,1781084165.691361,1781084166.6389701,1
159,-2.75,1781084166.802897,1781084167.565526,0
160,3.25,1781084167.9102771,1781084168.680373,0
161,9.0,1781084169.0172842,1781084169.977278,1
162,-3.25,1781084170.128475,1781084170.888682,0
163,9.0,1781084171.237866,1781084172.1907132,1
164,10.25,1781084172.349001,1781084173.227312,1
165,-4.75,1781084173.458544,1781084174.2371771,0
166,-4.0,1781084174.566585,1781084175.362611,0
167,-2.0,1781084175.678247,1781084176.460308,0
168,-1.0,1781084176.7868428,1781084177.5594182,0
169,-1.0,1781084177.898519,1781084178.6632278,0
170,-2.75,1781084179.0006452,1781084179.8239958,0
171,-0.75,1781084180.11227,1781084180.870775,0
172,-3.25,1781084181.222236,1781084181.9846048,0
173,-2.0,1781084182.334054,1781084183.106817,0
174,-0.5,1781084183.4415638,1781084184.205054,0
175,0.75,1781084184.548071,1781084185.32386,0
176,1.5,1781084185.659053,1781084186.450402,0
177,2.5,1781084186.769424,1781084187.554069,0
178,3.5,1781084187.880954,1781084188.698771,0
179,4.25,1781084188.992484,1781084189.831797,0
180,3.25,1781084190.104013,1781084190.9023879,0
181,2.75,1781084191.215541,1781084191.98511,0
182,4.5,1781084192.323065,1781084193.140996,0
183,3.0,1781084193.434616,1781084194.301874,0
184,0.25,1781084194.546141,1781084195.319475,0
185,2.0,1781084195.65277,1781084196.430969,0
186,2.25,1781084196.76033,1781084197.562679,0
187,-2.25,1781084197.871902,1781084198.730155,0
188,1.5,1781084198.9777012,1781084199.785006,0
189,1.5,1781084200.089288,1781084200.9181619,0
190,1.75,1781084201.196893,1781084201.9764118,0
191,-0.75,1781084202.303652,1781084203.070289,0
192,2.0,1781084203.4151769,1781084204.195564,0
193,0.5,1781084204.526704,1781084205.358963,0
194,2.5,1781084205.6382022,1781084206.421294,0
195,0.25,1781084206.749679,1781084207.5192251,0
196,-5.75,1781084207.861275,1781084208.679639,0
197,-3.75,1781084208.972789,1781084209.75866,0
198,-0.25,1781084210.078401,1781084210.865824,0
199,1.5,1781084211.190423,1781084211.989731,0
200,0.25,1781084212.301964,1781084213.0820649,0
201,0.5,1781084213.413491,1781084214.2114902,0
202,-0.75,1781084214.525161,1781084215.303544,0
203,1.75,1781084215.632353,1781084216.447977,0
204,1.5,1781084216.7439091,1781084217.520824,0
205,-2.5,1781084217.855416,1781084218.681739,0
206,-3.0,1781084218.966728,1781084219.7374442,0
207,-1.5,1781084220.078178,1781084220.8421981,0
208,-0.5,1781084221.186796,1781084221.959038,0
209,1.75,1781084222.29315,1781084223.080023,0
210,3.25,1781084223.398269,1781084224.1547232,0
211,2.25,1781084224.5098088,1781084225.265043,0
212,1.75,1781084225.6165671,1781084226.382561,0
213,2.75,1781084226.7277162,1781084227.513045,0
214,0.5,1781084227.839235,1781084228.688103,0
215,1.0,1781084228.941707,1781084229.729103,0
216,-0.5,1781084230.053267,1781084230.8101099,0
217,-1.5,1781084231.164938,1781084231.982686,0
